P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
Q64133," Membrane,  Direct protein sequencing,  Phosphoprotein,  Catecholamine metabolism,  Mitochondrion, Reference proteome, Flavoprotein,  FAD, Neurotransmitter degradation, Acetylation,  Transmembrane helix,  Oxidoreductase,  Transmembrane,  Mitochondrion outer membrane"
Q8BW75," Membrane,  Flavoprotein,  Reference proteome,  Mitochondrion,  FAD, Mitochondrion outer membrane, Acetylation,  Transmembrane helix,  Oxidoreductase, Transmembrane"
P35585," Acetylation,  Membrane,  Transport,  Golgi apparatus, Phosphoprotein, 3D-structure,  Protein transport,  Reference proteome,  Cytoplasmic vesicle"
P17427," Transport, Membrane,  Cell membrane, 3D-structure,  Lipid-binding,  Protein transport,  Reference proteome,  Endocytosis,  Coated pit"
O54774," Membrane,  Transport,  Coiled coil,  Golgi apparatus, Phosphoprotein,  Repeat,  Cytoplasm, Acetylation,  Protein transport,  Reference proteome"
B2RUJ5,"Golgi apparatus,  Direct protein sequencing,  Phosphoprotein,  Transport,  Alternative splicing, Reference proteome,  Repeat, 3D-structure,  Cytoplasm,  Protein transport,  Nucleus"
Q9QXJ1," Membrane,  Apoptosis, Transcription regulation,  Alternative splicing,  Ubl conjugation,  Cell membrane, Chromatin regulator, Phosphoprotein,  Repeat,  Cytoplasm,  Cell projection,  Nucleus, Activator,  Reference proteome,  DNA damage,  Repressor,  Transcription"
Q61315," Acetylation,  Cytoskeleton,  Membrane,  Coiled coil,  Alternative splicing,  Phosphoprotein,  Ubl conjugation,  Microtubule, Reference proteome,  Tumor suppressor,  Repeat, 3D-structure, Wnt signaling pathway,  Cytoplasm,  Cell projection, Direct protein sequencing, Cell membrane,  Cell junction"
Q8C7N7," Membrane,  Notch signaling pathway, Reference proteome, Alternative splicing,  Transmembrane helix,  Transmembrane"
Q03157," Membrane,  Zinc,  Cell adhesion,  Cell membrane,  Copper,  Heparin-binding, Neurodegeneration, Endocytosis,  Disulfide bond,  Cytoplasm,  Glycoprotein,  Reference proteome,  Signal,  Transmembrane,  Metal-binding, Apoptosis, Transmembrane helix"
Q06335," Membrane,  Phosphoprotein,  Cell membrane,  Copper, Reference proteome,  Disulfide bond,  DNA-binding, Glycoprotein, Alternative splicing,  Nucleus,  Transmembrane helix,  Signal,  Transmembrane,  Metal-binding"
Q9D7N9," Membrane,  Direct protein sequencing,  Signal-anchor, Phosphoprotein, Acetylation,  Glycoprotein,  Reference proteome,  Transmembrane, Transmembrane helix"
Q99MK8," Membrane, Nucleotide-binding,  Phosphoprotein,  Cell membrane,  Transferase, ATP-binding,  Cytoplasm, Serine/threonine-protein kinase,  Reference proteome,  Kinase"
Q99K28," Membrane,  Phosphoprotein,  Coiled coil,  Alternative splicing,  Zinc-finger,  Golgi apparatus, Transport,  GTPase activation,  Cytoplasm, Acetylation, ER-Golgi transport,  Protein transport,  Reference proteome, Metal-binding,  Zinc"
Q60875,"Cell junction, 3D-structure,  Innate immunity,  Reference proteome, Metal-binding, Proto-oncogene,  Cell cycle,  Immunity,  Golgi apparatus,  Cell division,  Cytoplasm,  Mitosis,  Cytoplasmic vesicle,  Acetylation,  Cytoskeleton,  Zinc,  Coiled coil,  Alternative splicing,  Tight junction,  Microtubule, Guanine-nucleotide releasing factor,  Phosphoprotein,  Zinc-finger,  Neurogenesis,  Differentiation, Developmental protein"
Q9ES28," Phosphoprotein,  Coiled coil,  Alternative splicing, Cell projection,  SH3 domain, Reference proteome, 3D-structure,  Neurogenesis,  Alternative initiation,  Cytoplasm, Guanine-nucleotide releasing factor,  Cell junction"
Q9CWR0," Membrane,  Cell membrane,  Cytoplasm, Alternative splicing,  Reference proteome, Guanine-nucleotide releasing factor"
Q8CG72,"DNA repair,  Alternative splicing,  Magnesium,  Hydrolase,  Mitochondrion, 3D-structure, Phosphoprotein,  Chromosome,  Cytoplasm,  Nucleus,  Reference proteome,  DNA damage,  Metal-binding"
A2BH40,"Methylation,  Phosphoprotein,  Alternative splicing,  DNA-binding,  Transcription regulation,  Neurogenesis,  Chromatin regulator, Acetylation,  Nucleus,  Reference proteome, Transcription"
Q9Z1K6," Phosphoprotein,  Ubl conjugation, Repeat, Zinc-finger,  Transferase,  Ubl conjugation pathway,  Nucleus,  Reference proteome, Cytoplasm,  Metal-binding,  Zinc"
Q8CG76," Acetylation,  Phosphoprotein,  Golgi apparatus, 3D-structure, Oxidoreductase,  Cytoplasm,  Reference proteome,  NADP"
Q9WUL7," Transport,  GTP-binding,  Myristate,  Lipoprotein, Membrane,  Cell cycle,  Golgi apparatus,  Magnesium, Phosphoprotein,  Cell division, 3D-structure,  Nucleotide-binding,  Cytoplasm,  Protein transport,  Cell projection,  Nucleus,  Reference proteome,  Metal-binding, Cytoskeleton"
Q9D0L7," Growth regulation,  Membrane, Phosphoprotein, Alternative splicing,  Endoplasmic reticulum,  Transmembrane helix,  Reference proteome,  Transmembrane"
Q9D7A8," Membrane,  Phosphoprotein,  Mitochondrion, Mitochondrion outer membrane,  Cytoplasm, Acetylation,  Reference proteome"
Q9DBR3," Phosphoprotein,  Alternative splicing, Reference proteome,  Repeat,  Cytoplasm, Acetylation,  Nucleus"
Q61324," Methylation, Reference proteome,  DNA-binding,  Repeat,  Transcription regulation, Alternative splicing,  Nucleus,  Transcription"
Q9QZB7," Reference proteome,  Cytoskeleton, Cytoplasm"
Q91Y59," Direct protein sequencing,  Phosphoprotein,  Coiled coil,  Alternative splicing,  Methylation,  Calmodulin-binding, Reference proteome, Acetylation, Cytoplasm"
Q9JM76," Cytoskeleton,  Phosphoprotein,  Ubl conjugation, Reference proteome,  Isopeptide bond,  Actin-binding,  Cytoplasm, Acetylation,  Cell projection,  Nucleus, Direct protein sequencing"
Q8BWG8," Membrane,  Transport,  Phosphoprotein,  Ubl conjugation,  Cell membrane,  Transcription regulation, Alternative splicing,  Cell projection,  Nucleus,  Signal transduction inhibitor,  Reference proteome, Cytoplasm, Protein transport, Transcription,  Coated pit,  Cytoplasmic vesicle"
Q91WU5," Phosphoprotein,  Methyltransferase, S-adenosyl-L-methionine,  Transferase,  Reference proteome, Cytoplasm"
Q9WV54,"Disulfide bond,  Secreted,  Zymogen, Reference proteome,  Hydrolase,  Sphingolipid metabolism,  Glycoprotein,  Signal,  Lipid metabolism,  Lysosome"
Q6X1Y6," Membrane,  Transport,  Phosphoprotein,  Cell membrane,  Ion transport,  Disulfide bond, Reference proteome,  Sodium transport,  Sodium channel,  Cytoplasm, Glycoprotein, Alternative splicing,  Transmembrane helix,  Sodium,  Ion channel, Transmembrane"
P16460," Direct protein sequencing,  Ligase,  Arginine biosynthesis,  ATP-binding, Phosphoprotein,  Nucleotide-binding, Acetylation,  Urea cycle,  Reference proteome, Cytoplasm,  Amino-acid biosynthesis"
Q61137," Membrane, Methylation, Disulfide bond,  Endosome,  Phosphoprotein,  Cell adhesion,  Cell membrane,  EGF-like domain,  Repeat, Alternative splicing,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Signal, Transmembrane,  Cytoplasmic vesicle"
Q8VD46," Developmental protein, Phosphoprotein, ANK repeat,  Repeat, Spermatogenesis,  Cytoplasm,  Meiosis,  RNA-mediated gene silencing,  Reference proteome,  Differentiation"
P14094," Membrane,  Direct protein sequencing,  Phosphoprotein,  Signal-anchor,  Potassium transport, Sodium transport,  Sodium/potassium transport,  Cell membrane,  Transport,  Ion transport,  Disulfide bond,  Transmembrane, Cell adhesion, Glutathionylation,  Glycoprotein,  Sodium,  Reference proteome, Potassium, Transmembrane helix"
P14231," Membrane,  Direct protein sequencing,  Signal-anchor,  Transport,  Potassium transport,  Cell membrane,  Potassium,  Ion transport,  Disulfide bond, Reference proteome,  Sodium transport, Cell adhesion, Glycoprotein,  Transmembrane helix,  Sodium,  Transmembrane, Sodium/potassium transport"
P97370," Membrane,  Direct protein sequencing,  Signal-anchor,  Transport,  Potassium transport,  Potassium, Reference proteome,  Disulfide bond,  Sodium transport,  Glycoprotein,  Transmembrane helix,  Sodium, Ion transport,  Transmembrane, Sodium/potassium transport, Cell membrane"
Q80XR2,"Golgi apparatus,  Direct protein sequencing,  Membrane, Nucleotide-binding,  Translocase,  Transport,  Ion transport,  Magnesium, ATP-binding,  Calcium, Transmembrane helix,  Reference proteome,  Transmembrane,  Metal-binding,  Calcium transport"
P98200,"Golgi apparatus,  Membrane, Nucleotide-binding,  Endosome,  Phosphoprotein,  Translocase,  Transport,  Cell membrane,  Magnesium, ATP-binding,  Disease mutation,  Transmembrane helix,  Cell projection,  Reference proteome,  Lipid transport,  Metal-binding, Transmembrane"
Q8BHE3," Transport,  Ubl conjugation,  Mitochondrion, Cell junction, Phosphoprotein,  Synapse,  Neurogenesis,  Cytoplasm,  Cell projection,  Reference proteome"
Q80XK6," Autophagy, Membrane,  Phosphoprotein, Alternative splicing,  Endoplasmic reticulum,  Reference proteome,  Lipid droplet"
Q8BP56," Reference proteome,  Hydrolase, Alternative splicing,  Glycosidase"
O35143," Phosphoprotein,  Mitochondrion, Transit peptide,  Reference proteome, Coiled coil"
Q6PA06," Membrane,  GTP-binding,  Phosphoprotein,  Coiled coil,  Methylation, Reference proteome,  Nucleotide-binding, Hydrolase, Alternative splicing,  Endoplasmic reticulum,  Transmembrane helix,  Transmembrane"
O08997," Transport,  Phosphoprotein,  Copper,  Chaperone,  Copper transport,  Ion transport, Acetylation,  Reference proteome, Metal-binding"
P97450," Membrane,  Transport,  Phosphoprotein,  Mitochondrion inner membrane,  Ion transport, Reference proteome,  Hydrogen ion transport, Mitochondrion, Acetylation,  Transit peptide,  CF(0)"
Q80TZ3," Phosphoprotein,  SH3-binding,  Chaperone,  Hydrolase,  Repeat, Alternative splicing, Protein phosphatase,  Reference proteome"
Q07440," Cytoplasm,  Apoptosis,  Reference proteome, 3D-structure"
P01887," Direct protein sequencing,  Immunity,  Secreted,  Disulfide bond, 3D-structure,  Polymorphism,  MHC I, Immunoglobulin domain, Signal,  Reference proteome"
P58158," Membrane,  Signal-anchor, Disulfide bond,  Golgi apparatus,  Transferase,  Manganese,  Glycoprotein,  Transmembrane helix,  Reference proteome, Metal-binding, Transmembrane"
O54962," Phosphoprotein, Reference proteome,  DNA-binding,  Chromosome,  Cytoplasm, Acetylation,  Nucleus"
Q3UHD1," Receptor, G-protein coupled receptor, 3D-structure,  Transmembrane helix,  Innate immunity, Transmembrane,  Immunity,  Secreted,  Ubl conjugation, Cell projection, Reference proteome,  Synapse,  Glycoprotein,  Cell junction,  Direct protein sequencing,  Alternative splicing,  Transducer,  Disulfide bond,  Signal,  Phosphoprotein, Membrane,  Myogenesis,  Cell membrane,  Repeat,  Phagocytosis,  Neurogenesis"
Q61335," Membrane,  Direct protein sequencing,  Transport,  Coiled coil, ER-Golgi transport,  Protein transport,  Endoplasmic reticulum,  Transmembrane helix,  Reference proteome, Apoptosis, Transmembrane"
Q3V079," Cytoskeleton,  Coiled coil, Cell projection, Reference proteome,  Cytoplasm,  Cilium"
Q5SUD9," Reference proteome, Cell projection,  Cilium"
Q9R069," Receptor,  Phosphoprotein, Membrane,  Immunoglobulin domain,  Disulfide bond,  Repeat, Cell adhesion,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Signal, Transmembrane"
Q61140," Acetylation,  Phosphoprotein,  Alternative splicing,  SH3-binding,  Cell adhesion, Reference proteome, Cell junction, 3D-structure,  Cytoplasm,  Cell projection,  SH3 domain"
P24288,"Reference proteome,  Aminotransferase, Branched-chain amino acid biosynthesis,  Pyridoxal phosphate,  Cytoplasm, Acetylation,  Transferase,  Amino-acid biosynthesis"
Q9Z0H7," Membrane,  Apoptosis,  Phosphoprotein,  Immunity, Reference proteome,  Tumor suppressor,  Cytoplasm, Acetylation"
Q8K019," Phosphoprotein,  Alternative splicing,  Ubl conjugation,  Methylation, Repressor,  DNA-binding,  Citrullination,  Transcription regulation,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome, Isopeptide bond,  Transcription"
Q80XN0," Direct protein sequencing, Membrane,  Reference proteome,  Mitochondrion inner membrane,  NAD,  Allosteric enzyme,  Mitochondrion, Phosphoprotein, Acetylation,  Glycoprotein,  Transit peptide,  Oxidoreductase"
O35623," Transport,  Phosphoprotein, Membrane,  Golgi apparatus,  ER-Golgi transport,  Protein transport,  Endoplasmic reticulum,  Transmembrane helix,  Reference proteome, Coiled coil, Transmembrane"
Q3UGY8," Membrane, Cytoplasmic vesicle, Phosphoprotein,  Transmembrane helix,  Guanine-nucleotide releasing factor,  Reference proteome,  Transmembrane"
O88738," Membrane,  Apoptosis,  Endosome,  Phosphoprotein,  Cell cycle,  Thiol protease inhibitor,  Ubl conjugation,  Golgi apparatus, Protease inhibitor,  Cell division,  Cytoplasm,  Ubl conjugation pathway, Alternative splicing,  Mitosis,  Reference proteome, Transferase, Cytoskeleton"
Q8R016," Protease,  Hydrolase,  Cytoplasm, Acetylation,  Reference proteome, Thiol protease"
Q9QUN3," Membrane,  Phosphoprotein,  Cell membrane, SH2 domain,  B-cell activation, 3D-structure,  Cytoplasm, Direct protein sequencing,  Reference proteome"
Q923D2," Phosphoprotein,  Reference proteome,  Oxidoreductase, Cytoplasm,  NADP"
Q2VPD4,"Transcription regulation,  Alternative splicing,  Ubl conjugation,  DNA-binding,  Repeat,  Biological rhythms,  Nucleus, Activator,  Reference proteome, Isopeptide bond,  Transcription"
Q8BGS2," Acetylation,  Alternative splicing, Reference proteome, 3D-structure,  Cytoplasm,  Nucleus"
P48754," Isopeptide bond,  DNA damage,  Lipid biosynthesis,  Cell cycle,  Ubl conjugation, Zinc, Reference proteome,  Chromosome,  Cytoplasm,  DNA repair, Transferase, Fatty acid metabolism,  Transcription regulation, Lipid metabolism,  Activator,  Phosphoprotein,  Zinc-finger, DNA recombination,  Tumor suppressor,  DNA-binding,  Repeat,  Ubl conjugation pathway, Acetylation,  Nucleus,  Fatty acid biosynthesis,  Transcription,  Metal-binding"
Q5DTM8," Phosphoprotein,  Coiled coil,  Alternative splicing, Ubl conjugation pathway,  Zinc-finger,  Transferase,  Chromatin regulator, Acetylation,  Nucleus,  Reference proteome, Metal-binding,  Zinc"
Q3U319," Phosphoprotein,  Coiled coil,  Zinc-finger, Ubl conjugation,  Isopeptide bond,  Transferase,  Ubl conjugation pathway,  Chromatin regulator, Acetylation,  Nucleus,  Reference proteome, Metal-binding,  Zinc"
Q5RJI5,"Nucleotide-binding,  Magnesium, 3D-structure,  Reference proteome,  DNA damage,  Cell cycle, Cell projection,  Methylation,  Synapse,  Cytoplasm,  Cytoplasmic vesicle,  Cell junction,  Cytoskeleton,  Alternative splicing,  ATP-binding, Kinase,  Transferase, Serine/threonine-protein kinase,  Phosphoprotein,  Neurogenesis,  Nucleus,  Metal-binding"
Q64152," Transport, Transcription regulation,  Chaperone,  Methylation, Phosphoprotein,  Cytoplasm, Alternative splicing,  Nucleus,  Protein transport,  Reference proteome,  Transcription"
P50615,Reference proteome
Q80U49," Cytoskeleton,  Phosphoprotein,  Microtubule, Reference proteome,  Cytoplasm, Alternative splicing"
P14106," Secreted,  Pyrrolidone carboxylic acid, Repeat,  Disulfide bond,  Complement pathway,  Glycoprotein, Immunity,  Innate immunity,  Reference proteome, Collagen,  Hydroxylation,  Signal"
Q922D8," Phosphoprotein,  Ligase,  Multifunctional enzyme,  ATP-binding,  Hydrolase, Reference proteome,  Nucleotide-binding,  Cytoplasm, Acetylation, One-carbon metabolism, Methionine biosynthesis,  Histidine biosynthesis, Direct protein sequencing,  Oxidoreductase,  Purine biosynthesis,  Amino-acid biosynthesis,  NADP"
Q3V3R1," Acetylation, Nucleotide-binding,  Phosphoprotein,  Ligase,  Mitochondrion,  ATP-binding, Reference proteome, 3D-structure,  Transit peptide,  One-carbon metabolism"
Q80X80," Transport,  Phosphoprotein, Membrane,  Transmembrane,  Lipid-binding,  Endoplasmic reticulum,  Reference proteome,  Lipid transport, Cell membrane, Transmembrane helix"
Q7TPS5," Membrane,  Transport,  Cell membrane, Cytoplasmic vesicle, Phosphoprotein,  Lipid-binding,  Cytoplasm,  Calcium, Alternative splicing,  Cell projection,  Protein transport,  Reference proteome,  Metal-binding"
Q8BIF0," Membrane,  Cell adhesion,  Cell membrane, Glycoprotein, Alternative splicing, Transmembrane helix,  Reference proteome,  Signal,  Transmembrane,  Cell junction"
Q8K207," Reference proteome, Phosphoprotein"
Q8C3W1," Reference proteome,  Cytoplasm, Acetylation,  Phosphoprotein"
O08532," Membrane,  Transport,  Phosphoprotein, Disulfide bond,  Ion transport,  Transmembrane,  Calcium channel,  Voltage-gated channel,  Calcium, Alternative splicing,  Glycoprotein, Transmembrane helix,  Reference proteome,  Ion channel,  Signal, Metal-binding,  Calcium transport"
Q5RJF7," Membrane,  Transport,  Disulfide bond,  Calcium channel,  Voltage-gated channel, Ion transport,  Calcium, Alternative splicing, Cone-rod dystrophy,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Ion channel,  Signal,  Metal-binding, Transmembrane,  Calcium transport"
Q06138," Reference proteome,  Direct protein sequencing, Cytoplasm"
P47934," Acetylation,  Membrane, Fatty acid metabolism, Transport,  Peroxisome,  Mitochondrion,  Acyltransferase, 3D-structure,  Transferase,  Endoplasmic reticulum, Mitochondrion inner membrane,  Reference proteome,  Lipid metabolism"
P15116," Membrane,  Cell adhesion,  Cell membrane, Phosphoprotein,  Repeat, 3D-structure,  Calcium,  Glycoprotein, Transmembrane helix,  Reference proteome,  Signal,  Transmembrane,  Metal-binding, Cleavage on pair of basic residues,  Cell junction"
P70407," Membrane,  Phosphoprotein,  Cell adhesion,  Cell membrane,  Cleavage on pair of basic residues, Glycoprotein,  Transmembrane helix, Calcium,  Reference proteome, Repeat,  Transmembrane,  Metal-binding,  Signal"
Q8BLQ9," Membrane,  Phosphoprotein,  Alternative splicing,  Cell adhesion,  Disulfide bond,  Synapse, 3D-structure,  Glycoprotein,  Cell projection, Immunoglobulin domain,  Transmembrane helix,  Reference proteome, Repeat,  Transmembrane,  Signal, Cell membrane,  Cell junction"
P28651," Phosphoprotein, Reference proteome, Direct protein sequencing,  Metal-binding,  Zinc"
